last_name, first_name,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Beltran, Carlos,2017,.242,.384,.298,.296,.138,87.3,13.3,4.6,
Pujols, Albert,2017,.261,.450,.323,.305,.182,88.7,13.4,5.4,
Mauer, Joe,2017,.307,.476,.375,.385,.162,90.2,5.6,4.5,
Cabrera, Miguel,2017,.282,.528,.378,.359,.242,91.3,12.2,10.5,
Phillips, Brandon,2017,.273,.389,.307,.309,.109,84.5,8.0,2.4,
Reyes, Jose,2017,.242,.355,.297,.313,.108,83.5,14.6,2.6,
Choo, Shin-Soo,2017,.276,.485,.375,.373,.204,88.0,7.2,8.6,
Molina, Yadier,2017,.273,.470,.338,.315,.191,87.8,14.5,5.9,
Cano, Robinson,2017,.298,.499,.366,.355,.193,90.3,7.4,6.3,
Encarnacion, Edwin,2017,.266,.535,.393,.386,.264,89.2,16.7,10.6,
Bautista, Jose,2017,.212,.384,.309,.317,.169,88.3,16.9,6.6,
Jones, Adam,2017,.269,.445,.324,.307,.172,86.5,11.6,6.4,
Granderson, Curtis,2017,.225,.457,.344,.336,.227,87.5,20.2,10.9,
Ramirez, Hanley,2017,.269,.492,.355,.344,.217,88.4,12.5,9.5,
Morales, Kendrys,2017,.269,.513,.357,.326,.238,91.1,9.5,10.0,
Kinsler, Ian,2017,.258,.438,.336,.333,.176,86.2,19.3,4.9,
Cruz, Nelson,2017,.293,.599,.411,.382,.301,93.2,12.4,14.2,
Trumbo, Mark,2017,.236,.399,.301,.290,.159,89.6,12.6,7.1,
Peralta, David,2017,.267,.403,.322,.328,.131,88.0,4.2,4.1,
Escobar, Alcides,2017,.257,.360,.280,.278,.099,83.1,12.7,2.2,
Longoria, Evan,2017,.249,.417,.315,.306,.162,86.7,12.7,5.2,
Cozart, Zack,2017,.256,.406,.336,.350,.145,85.8,14.7,4.4,
Reynolds, Mark,2017,.221,.422,.321,.312,.195,87.1,11.9,8.3,
Davis, Chris,2017,.222,.450,.332,.318,.226,89.9,14.8,12.8,
Headley, Chase,2017,.256,.401,.327,.338,.139,86.7,11.3,4.6,
Pence, Hunter,2017,.269,.438,.331,.326,.163,89.0,4.4,5.8,
Span, Denard,2017,.283,.412,.331,.340,.123,84.6,10.3,3.3,
