year_film,category,movie_title,nominee,oscwin,ggwin,guildwin,sagwin,bawin,tomatometer_rating,tomatometer_status,genre,metascore,numnom
1927,production design,sunrise,sunrise,0,0,0,0,0,98.0,certified fresh,none,98.0,4
1927,cinematography,sunrise,sunrise,1,0,0,0,0,98.0,certified fresh,none,98.0,4
1927,cinematography,sunrise,sunrise,1,0,0,0,0,98.0,certified fresh,none,98.0,4
1927,effects,wings,wings,1,0,0,0,0,93.0,certified fresh,none,93.0,2
1927,picture,wings,wings,1,0,0,0,0,93.0,certified fresh,none,93.0,2
1927,picture,sunrise,sunrise,1,0,0,0,0,98.0,certified fresh,none,98.0,4
1928,actress,the broadway melody,bessie love,0,0,0,0,0,35.0,rotten,none,35.0,6
1928,actress,the broadway melody,bessie love,0,0,0,0,0,35.0,rotten,none,35.0,6
1928,director,the broadway melody,the broadway melody,0,0,0,0,0,35.0,rotten,none,35.0,6
1928,director,the broadway melody,the broadway melody,0,0,0,0,0,35.0,rotten,none,35.0,6
1928,picture,the broadway melody,the broadway melody,1,0,0,0,0,35.0,rotten,none,35.0,6
1928,picture,the broadway melody,the broadway melody,1,0,0,0,0,35.0,rotten,none,35.0,6
1929,cinematography,all quiet on the western front,all quiet on the western front,0,0,0,0,0,91.0,False,"['drama', 'war']",91.0,4
1929,director,all quiet on the western front,all quiet on the western front,1,0,0,0,0,91.0,False,"['drama', 'war']",91.0,4
1929,picture,all quiet on the western front,all quiet on the western front,1,0,0,0,0,91.0,False,"['drama', 'war']",91.0,4
1929,screenplay,all quiet on the western front,all quiet on the western front,0,0,0,0,0,91.0,False,"['drama', 'war']",91.0,4
1930,actor,cimarron,richard dix,0,0,0,0,0,55.0,rotten,none,55.0,14
1930,actor,cimarron,richard dix,0,0,0,0,0,55.0,rotten,none,55.0,14
1930,actress,cimarron,irene dunne,0,0,0,0,0,55.0,rotten,none,55.0,14
1930,actress,cimarron,irene dunne,0,0,0,0,0,55.0,rotten,none,55.0,14
1930,production design,cimarron,cimarron,1,0,0,0,0,55.0,rotten,none,55.0,14
1930,production design,cimarron,cimarron,1,0,0,0,0,55.0,rotten,none,55.0,14
1930,cinematography,cimarron,cimarron,0,0,0,0,0,55.0,rotten,none,55.0,14
1930,cinematography,cimarron,cimarron,0,0,0,0,0,55.0,rotten,none,55.0,14
1930,director,cimarron,cimarron,0,0,0,0,0,55.0,rotten,none,55.0,14
1930,director,cimarron,cimarron,0,0,0,0,0,55.0,rotten,none,55.0,14
1930,picture,cimarron,cimarron,1,0,0,0,0,55.0,rotten,none,55.0,14
1930,picture,cimarron,cimarron,1,0,0,0,0,55.0,rotten,none,55.0,14
1930,screenplay,cimarron,cimarron,1,0,0,0,0,55.0,rotten,none,55.0,14
1930,screenplay,cimarron,cimarron,1,0,0,0,0,55.0,rotten,none,55.0,14
1931,actor,dr jekyll and mr hyde,fredric march,1,0,0,0,0,93.0,fresh,none,93.0,3
1931,cinematography,dr jekyll and mr hyde,dr jekyll and mr hyde,0,0,0,0,0,93.0,fresh,none,93.0,3
1931,picture,grand hotel,grand hotel,1,0,0,0,0,86.0,fresh,none,86.0,2
1931,picture,grand hotel,grand hotel,1,0,0,0,0,86.0,fresh,none,86.0,2
1931,screenplay,dr jekyll and mr hyde,dr jekyll and mr hyde,0,0,0,0,0,93.0,fresh,none,93.0,3
1932,actress,cavalcade,diana wynyard,0,0,0,0,0,58.0,rotten,none,58.0,8
1932,actress,cavalcade,diana wynyard,0,0,0,0,0,58.0,rotten,none,58.0,8
1932,production design,cavalcade,cavalcade,1,0,0,0,0,58.0,rotten,none,58.0,8
1932,production design,cavalcade,cavalcade,1,0,0,0,0,58.0,rotten,none,58.0,8
1932,director,cavalcade,cavalcade,1,0,0,0,0,58.0,rotten,none,58.0,8
1932,director,cavalcade,cavalcade,1,0,0,0,0,58.0,rotten,none,58.0,8
1932,picture,cavalcade,cavalcade,1,0,0,0,0,58.0,rotten,none,58.0,8
1932,picture,cavalcade,cavalcade,1,0,0,0,0,58.0,rotten,none,58.0,8
1932,picture,she done him wrong,she done him wrong,0,0,0,0,0,90.0,fresh,none,90.0,2
1932,picture,she done him wrong,she done him wrong,0,0,0,0,0,90.0,fresh,none,90.0,2
1934,actor,it happened one night,clark gable,1,0,0,0,0,98.0,certified fresh,"['comedy', 'romance']",87.0,5
1934,actress,it happened one night,claudette colbert,1,0,0,0,0,98.0,certified fresh,"['comedy', 'romance']",87.0,5
1934,director,it happened one night,it happened one night,1,0,0,0,0,98.0,certified fresh,"['comedy', 'romance']",87.0,5
1934,picture,it happened one night,it happened one night,1,0,0,0,0,98.0,certified fresh,"['comedy', 'romance']",87.0,5
1934,screenplay,it happened one night,it happened one night,1,0,0,0,0,98.0,certified fresh,"['comedy', 'romance']",87.0,5
1935,actor,mutiny on the bounty,clark gable,0,0,0,0,0,94.0,fresh,none,94.0,7
1935,actor,mutiny on the bounty,charles laughton,0,0,0,0,0,94.0,fresh,none,94.0,7
1935,actor,mutiny on the bounty,franchot tone,0,0,0,0,0,94.0,fresh,none,94.0,7
1935,production design,top hat,top hat,0,0,0,0,0,100.0,fresh,none,100.0,3
1935,director,top hat,top hat,0,0,0,0,0,100.0,fresh,none,100.0,3
1935,director,mutiny on the bounty,mutiny on the bounty,0,0,0,0,0,94.0,fresh,none,94.0,7
1935,score,mutiny on the bounty,mutiny on the bounty,0,0,0,0,0,94.0,fresh,none,94.0,7
1935,picture,mutiny on the bounty,mutiny on the bounty,1,0,0,0,0,94.0,fresh,none,94.0,7
1935,picture,top hat,top hat,0,0,0,0,0,100.0,fresh,none,100.0,3
1935,screenplay,mutiny on the bounty,mutiny on the bounty,0,0,0,0,0,94.0,fresh,none,94.0,7
1936,actor,my man godfrey,william powell,0,0,0,0,0,97.0,fresh,none,97.0,6
1936,supporting actor,my man godfrey,mischa auer,0,0,0,0,0,97.0,fresh,none,97.0,6
1936,actress,my man godfrey,carole lombard,0,0,0,0,0,97.0,fresh,none,97.0,6
1936,actress,the great ziegfeld,luise rainer,1,0,0,0,0,62.0,fresh,none,62.0,6
1936,supporting actress,my man godfrey,alice brady,0,0,0,0,0,97.0,fresh,none,97.0,6
1936,production design,the great ziegfeld,the great ziegfeld,0,0,0,0,0,62.0,fresh,none,62.0,6
1936,director,the great ziegfeld,the great ziegfeld,1,0,0,0,0,62.0,fresh,none,62.0,6
1936,director,the great ziegfeld,the great ziegfeld,0,0,0,0,0,62.0,fresh,none,62.0,6
1936,director,my man godfrey,my man godfrey,0,0,0,0,0,97.0,fresh,none,97.0,6
1936,picture,the great ziegfeld,the great ziegfeld,1,0,0,0,0,62.0,fresh,none,62.0,6
1936,screenplay,the great ziegfeld,the great ziegfeld,0,0,0,0,0,62.0,fresh,none,62.0,6
1936,screenplay,my man godfrey,my man godfrey,0,0,0,0,0,97.0,fresh,none,97.0,6
1937,actor,the life of emile zola,paul muni,0,0,0,0,0,78.0,fresh,none,78.0,9
1937,supporting actor,the awful truth,ralph bellamy,0,0,0,0,0,93.0,fresh,none,93.0,5
