bawin,category,movie_title,nominee,year_film
True,picture,the best years of our lives,the best years of our lives,1947
True,picture,hamlet,hamlet,1948
False,picture,crossfire,crossfire,1948
False,picture,the fallen idol,the fallen idol,1948
False,picture,monsieur vincent,monsieur vincent,1948
False,picture,the naked city,the naked city,1948
False,picture,paisan,paisan,1948
False,picture,four steps in the clouds,four steps in the clouds,1948
True,picture,bicycle thieves,bicycle thieves,1949
False,picture,the ballad of berlin,the ballad of berlin,1949
False,picture,the last stage,the last stage,1949
False,picture,the set-up,the set-up,1949
False,picture,the third man,the third man,1949
False,picture,the treasure of the sierra madre,the treasure of the sierra madre,1949
False,picture,the window,the window,1949
True,picture,all about eve,all about eve,1950
False,picture,the asphalt jungle,the asphalt jungle,1950
False,picture,beauty and the beast,beauty and the beast,1950
False,picture,intruder in the dust,intruder in the dust,1950
False,picture,the men,the men,1950
False,picture,on the town,on the town,1950
False,picture,orphée,orphée,1950
True,picture,la ronde,la ronde,1951
False,picture,an american in paris,an american in paris,1951
False,picture,the browning version,the browning version,1951
False,picture,detective story,detective story,1951
False,picture,sunday in august,sunday in august,1951
False,picture,fourteen hours,fourteen hours,1951
False,picture,miss julie,miss julie,1951
False,picture,the lavender hill mob,the lavender hill mob,1951
False,picture,the magic box,the magic box,1951
False,picture,the magic garden,the magic garden,1951
False,picture,the man in the white suit,the man in the white suit,1951
False,picture,no resting place,no resting place,1951
False,picture,the red badge of courage,the red badge of courage,1951
False,picture,the small miracle,the small miracle,1951
False,picture,the sound of fury,the sound of fury,1951
False,picture,a walk in the sun,a walk in the sun,1951
False,picture,white corridors,white corridors,1951
False,picture,edward and caroline,edward and caroline,1951
True,picture,the sound barrier,the sound barrier,1952
False,picture,the african queen,the african queen,1952
False,picture,angels one five,angels one five,1952
False,picture,the boy kumasenu,the boy kumasenu,1952
False,picture,carrie,carrie,1952
False,picture,golden helmet,golden helmet,1952
False,picture,"cry, the beloved country","cry, the beloved country",1952
False,picture,death of a salesman,death of a salesman,1952
False,picture,limelight,limelight,1952
False,picture,mandy,mandy,1952
False,picture,miracle in milan,miracle in milan,1952
False,picture,the young and the damned,the young and the damned,1952
False,picture,outcast of the islands,outcast of the islands,1952
False,picture,rashomon,rashomon,1952
False,picture,the river,the river,1952
False,picture,singin' in the rain,singin' in the rain,1952
False,picture,a streetcar named desire,a streetcar named desire,1952
False,picture,viva zapata!,viva zapata!,1952
True,picture,forbidden games,forbidden games,1953
False,picture,the bad and the beautiful,the bad and the beautiful,1953
False,picture,"come back, little sheba","come back, little sheba",1953
False,picture,the cruel sea,the cruel sea,1953
False,picture,two cents worth of hope,two cents worth of hope,1953
False,picture,from here to eternity,from here to eternity,1953
False,picture,genevieve,genevieve,1953
False,picture,the heart of the matter,the heart of the matter,1953
False,picture,julius caesar,julius caesar,1953
False,picture,the kidnappers,the kidnappers,1953
False,picture,lili,lili,1953
False,picture,the medium,the medium,1953
False,picture,mogambo,mogambo,1953
False,picture,moulin rouge,moulin rouge,1953
False,picture,are we all murderers?,are we all murderers?,1953
False,picture,the little world of don camillo,the little world of don camillo,1953
False,picture,roman holiday,roman holiday,1953
False,picture,shane,shane,1953
False,picture,the sun shines bright,the sun shines bright,1953
True,picture,the wages of fear,the wages of fear,1954
False,picture,the caine mutiny,the caine mutiny,1954
False,picture,carrington v.c.,carrington v.c.,1954
False,picture,the divided heart,the divided heart,1954
False,picture,doctor in the house,doctor in the house,1954
False,picture,executive suite,executive suite,1954
False,picture,"for better, for worse","for better, for worse",1954
False,picture,hobson's choice,hobson's choice,1954
False,picture,how to marry a millionaire,how to marry a millionaire,1954
False,picture,gate of hell,gate of hell,1954
False,picture,the maggie,the maggie,1954
False,picture,the moon is blue,the moon is blue,1954
False,picture,on the waterfront,on the waterfront,1954
False,picture,"bread, love and dreams","bread, love and dreams",1954
False,picture,the purple plain,the purple plain,1954
False,picture,rear window,rear window,1954
False,picture,riot in cell block 11,riot in cell block 11,1954
False,picture,robinson crusoe,robinson crusoe,1954
False,picture,romeo and juliet,romeo and juliet,1954
False,picture,seven brides for seven brothers,seven brides for seven brothers,1954
True,picture,richard iii,richard iii,1955
False,picture,bad day at black rock,bad day at black rock,1955
False,picture,carmen jones,carmen jones,1955
False,picture,the colditz story,the colditz story,1955
False,picture,the dam busters,the dam busters,1955
False,picture,east of eden,east of eden,1955
False,picture,the ladykillers,the ladykillers,1955
False,picture,marty,marty,1955
False,picture,the night my number came up,the night my number came up,1955
False,picture,the prisoner,the prisoner,1955
False,picture,seven samurai,seven samurai,1955
False,picture,simba,simba,1955
False,picture,la strada,la strada,1955
False,picture,summertime,summertime,1955
True,picture,gervaise,gervaise,1956
False,picture,friends for life,friends for life,1956
False,picture,baby doll,baby doll,1956
False,picture,the battle of the river plate,the battle of the river plate,1956
False,picture,the unfrocked one,the unfrocked one,1956
False,picture,guys and dolls,guys and dolls,1956
False,picture,the killing,the killing,1956
False,picture,the man who never was,the man who never was,1956
False,picture,the man with the golden arm,the man with the golden arm,1956
False,picture,picnic,picnic,1956
False,picture,the grasshopper,the grasshopper,1956
False,picture,reach for the sky,reach for the sky,1956
False,picture,rebel without a cause,rebel without a cause,1956
False,picture,shadow,shadow,1956
False,picture,smiles of a summer night,smiles of a summer night,1956
False,picture,a town like alice,a town like alice,1956
False,picture,the trouble with harry,the trouble with harry,1956
False,picture,war and peace,war and peace,1956
False,picture,yield to the night,yield to the night,1956
True,picture,the bridge on the river kwai,the bridge on the river kwai,1957
False,picture,12 angry men,12 angry men,1957
False,picture,3:10 to yuma,3:10 to yuma,1957
False,picture,the bachelor party,the bachelor party,1957
False,picture,he who must die,he who must die,1957
False,picture,edge of the city,edge of the city,1957
False,picture,"heaven knows, mr. allison","heaven knows, mr. allison",1957
False,picture,song of the road,song of the road,1957
False,picture,paths of glory,paths of glory,1957
False,picture,gate of lilacs,gate of lilacs,1957
False,picture,the prince and the showgirl,the prince and the showgirl,1957
False,picture,the shiralee,the shiralee,1957
False,picture,that night!,that night!,1957
False,picture,the tin star,the tin star,1957
False,picture,a man escaped,a man escaped,1957
False,picture,windom's way,windom's way,1957
True,picture,room at the top,room at the top,1958
False,picture,the unvanquished,the unvanquished,1958
False,picture,cat on a hot tin roof,cat on a hot tin roof,1958
False,picture,the defiant ones,the defiant ones,1958
