year_film,movie_title,guildwin,category,nominee
1948,a letter to three wives,True,director,a letter to three wives
1948,red river,False,director,red river
1948,the snake pit,False,director,the snake pit
1948,the search,False,director,the search
1949,all the king's men,True,director,all the king's men
1949,the third man,False,director,the third man
1949,champion,False,director,champion
1949,lost boundaries,False,director,lost boundaries
1950,all about eve,True,director,all about eve
1950,the asphalt jungle,False,director,the asphalt jungle
1950,father's little dividend,False,director,father's little dividend
1950,sunset boulevard,False,director,sunset boulevard
1951,a place in the sun,True,director,a place in the sun
1951,death of a salesman,False,director,death of a salesman
1951,cyrano de bergerac,False,director,cyrano de bergerac
1951,strangers on a train,False,director,strangers on a train
1951,a streetcar named desire,False,director,a streetcar named desire
1951,david and bathsheba,False,director,david and bathsheba
1951,quo vadis,False,director,quo vadis
1951,decision before dawn,False,director,decision before dawn
1951,an american in paris,False,director,an american in paris
1951,show boat,False,director,show boat
1951,the great caruso,False,director,the great caruso
1951,detective story,False,director,detective story
1952,the quiet man,True,director,the quiet man
1952,the lavender hill mob,False,director,the lavender hill mob
1952,pat and mike,False,director,pat and mike
1952,i'll see you in my dreams,False,director,i'll see you in my dreams
1952,the greatest show on earth,False,director,the greatest show on earth
1952,my six convicts,False,director,my six convicts
1952,the big sky,False,director,the big sky
1952,viva zapata!,False,director,viva zapata!
1952,stanley donen,False,director,stanley donen
1952,the snows of kilimanjaro,False,director,the snows of kilimanjaro
1952,rashomon,False,director,rashomon
1952,pandora and the flying dutchman,False,director,pandora and the flying dutchman
1952,5 fingers,False,director,5 fingers
1952,the bad and the beautiful,False,director,the bad and the beautiful
1952,scaramouche,False,director,scaramouche
1952,ivanhoe,False,director,ivanhoe
1952,hans christian andersen,False,director,hans christian andersen
1952,high noon,False,director,high noon
1953,from here to eternity,True,director,from here to eternity
1953,norman panama,False,director,norman panama
1953,the robe,False,director,the robe
1953,call me madam,False,director,call me madam
1953,julius caesar,False,director,julius caesar
1953,come back little sheba,False,director,come back little sheba
1953,titanic,False,director,titanic
1953,young bess,False,director,young bess
1953,shane,False,director,shane
1953,lili,False,director,lili
1953,stalag 17,False,director,stalag 17
1953,roman holiday,False,director,roman holiday
1954,on the waterfront,True,director,on the waterfront
1954,a star is born,False,director,a star is born
1954,the caine mutiny,False,director,the caine mutiny
1954,seven brides for seven brothers,False,director,seven brides for seven brothers
1954,norman panama,False,director,norman panama
1954,hell and high water,False,director,hell and high water
1954,rear window,False,director,rear window
1954,king of the khyber rifles,False,director,king of the khyber rifles
1954,the glenn miller story,False,director,the glenn miller story
1954,three coins in the fountain,False,director,three coins in the fountain
1954,the country girl,False,director,the country girl
1954,riot in cell block 11,False,director,riot in cell block 11
1954,the high and the mighty,False,director,the high and the mighty
1954,executive suite,False,director,executive suite
1954,sabrina,False,director,sabrina
1955,marty,True,director,marty
1955,blackboard jungle,False,director,blackboard jungle
1955,the long gray line,False,director,the long gray line
1955,east of eden,False,director,east of eden
1955,a man called peter,False,director,a man called peter
1955,picnic,False,director,picnic
1955,the rose tattoo,False,director,the rose tattoo
