year_film,category,nominee,movie_title,sagwin
2019,picture,,bombshell,False
2019,picture,,the irishman,False
2019,picture,,jojo rabbit,False
2019,picture,,once upon a time...in hollywood,False
2019,picture,,parasite,True
2019,actress,cynthia erivo,harriet,False
2019,actress,scarlett johansson,marriage story,False
2019,actress,lupita nyong'o,us,False
2019,actress,charlize theron,bombshell,False
2019,actress,renée zellweger,judy,True
2019,actor,christian bale,ford v ferrari,False
2019,actor,leonardo dicaprio,once upon a time...in hollywood,False
2019,actor,adam driver,marriage story,False
2019,actor,taron egerton,rocketman,False
2019,actor,joaquin phoenix,joker,True
2019,supporting actress,laura dern,marriage story,True
2019,supporting actress,scarlett johansson,jojo rabbit,False
2019,supporting actress,nicole kidman,bombshell,False
2019,supporting actress,jennifer lopez,hustlers,False
2019,supporting actress,margot robbie,bombshell,False
2019,supporting actor,jamie foxx,just mercy,False
2019,supporting actor,tom hanks,a beautiful day in the neighborhood,False
2019,supporting actor,al pacino,the irishman,False
2019,supporting actor,joe pesci,the irishman,False
2019,supporting actor,brad pitt,once upon a time...in hollywood,True
2019,tv,,big little lies,False
2019,tv,,the crown,True
2019,tv,,game of thrones,False
2019,tv,,the handmaid's tale,False
2019,tv,,stranger things,False
2019,tv,jennifer aniston,the morning show,True
2019,tv,helena bonham carter,the crown,False
2019,tv,olivia colman,the crown,False
2019,tv,jodie comer,killing eve,False
2019,tv,elisabeth moss,the handmaid's tale,False
2019,tv,sterling k brown,this is us,False
2019,tv,steve carell,the morning show,False
2019,tv,billy crudup,the morning show,False
2019,tv,peter dinklage,game of thrones,True
2019,tv,david harbour,stranger things,False
2019,tv,,barry,False
2019,tv,,fleabag,False
2019,tv,,the kominsky method,False
2019,tv,,the marvelous mrs. maisel,True
2019,tv,,schitt's creek,False
2019,tv,christina applegate,dead to me,False
2019,tv,alex borstein,the marvelous mrs. maisel,False
2019,tv,rachel brosnahan,the marvelous mrs. maisel,False
2019,tv,catherine o'hara,schitt's creek,False
2019,tv,phoebe waller-bridge,fleabag,True
2019,tv,alan arkin,the kominsky method,False
2019,tv,michael douglas,the kominsky method,False
2019,tv,bill hader,barry,False
2019,tv,andrew scott,fleabag,False
2019,tv,tony shalhoub,the marvelous mrs. maisel,True
2019,tv,patricia arquette,the act,False
2019,tv,toni collette,unbelieveable,False
2019,tv,joey king,the act,False
2019,tv,emily watson,chernobyl,False
2019,tv,michelle williams,fosse/verdon,True
2019,tv,mahershala ali,true detective,False
2019,tv,russell crowe,the loudest voice,False
2019,tv,jared harris,chernobyl,False
2019,tv,jharrel jerome,when they see us,False
2019,tv,sam rockwell,fosse/verdon,True
2019,stunt,,avengers: endgame,True
2019,stunt,,ford v ferrari,False
2019,stunt,,the irishman,False
2019,stunt,,joker,False
2019,stunt,,once upon a time...in hollywood,False
2019,tv,,game of thrones,True
2019,tv,,glow,False
2019,tv,,stranger things,False
2019,tv,,the walking dead,False
2019,tv,,watchmen,False
2018,picture,,a star is born ,False
2018,picture,andrew dice clay,a star is born ,False
2018,picture,anthony ramos,a star is born,False
2018,picture,bradley cooper,a star is born ,False
2018,picture,dave chappelle,a star is born,False
2018,picture,lady gaga,a star is born ,False
2018,picture,rafi gavron,a star is born ,False
2018,picture,sam elliott,a star is born,False
2018,picture,,black panther,True
2018,picture,andy serkis ,black panther,True
2018,picture,angela bassett,black panther,True
2018,picture,chadwick boseman,black panther,True
2018,picture,danai gurira,black panther,True
2018,picture,daniel kaluuya,black panther,True
2018,picture,forest  whitaker,black panther,True
2018,picture,letitia wright,black panther,True
2018,picture,lupita nyong’o,black panther,True
2018,picture,martin freeman,black panther,True
2018,picture,michael b jordan,black panther,True
2018,picture,sterling k brown,black panther,True
2018,picture,winston duke,black panther,True
2018,picture,,blackkklansman,False
2018,picture,adam driver,blackkklansman,False
2018,picture,corey hawkins,blackkklansman,False
2018,picture,harry belafonte,blackkklansman,False
2018,picture,john david washington,blackkklansman,False
2018,picture,laura harrier,blackkklansman,False
2018,picture,topher grace,blackkklansman,False
2018,picture,,bohemian rhapsody ,False
2018,picture,aidan gillen,bohemian rhapsody ,False
2018,picture,allen leech,bohemian rhapsody,False
2018,picture,ben hardy,bohemian rhapsody,False
2018,picture,gwilym lee,bohemian rhapsody,False
2018,picture,joe mazzello,bohemian rhapsody,False
2018,picture,lucy boynton,bohemian rhapsody,False
2018,picture,mike myers,bohemian rhapsody,False
