year_film,movie_title,guildwin,category,nominee
1969,midnight cowboy,True,screenplay,midnight cowboy
1969,anne of the thousand days,False,screenplay,anne of the thousand days
1969,the prime of miss jean brodie,False,screenplay,the prime of miss jean brodie
1969,they shoot horses don't they?,False,screenplay,they shoot horses don't they?
1969,true grit,False,screenplay,true grit
1969,goodbye columbus,True,screenplay,goodbye columbus
1969,cactus flower,False,screenplay,cactus flower
1969,gaily gaily,False,screenplay,gaily gaily
1969,john and marty,False,screenplay,john and marty
1969,the reivers,False,screenplay,the reivers
1970,i never sang for my father,True,screenplay,i never sang for my father
1970,airport,False,screenplay,airport
1970,catch-22,False,screenplay,catch-22
1970,little big man,False,screenplay,little big man
1970,the great white hope,False,screenplay,the great white hope
1970,m*a*s*h,True,screenplay,m*a*s*h
1970,lovers and other strangers,False,screenplay,lovers and other strangers
1970,the owl and the pussycat,False,screenplay,the owl and the pussycat
1970,the twelve chairs,False,screenplay,the twelve chairs
1970,where's poppa,False,screenplay,where's poppa
1971,the french connection,True,screenplay,the french connection
1971,a clockwork orange,False,screenplay,a clockwork orange
1971,johnny got his gun,False,screenplay,johnny got his gun
1971,mccabe & mrs miller,False,screenplay,mccabe & mrs miller
1971,the last picture show,False,screenplay,the last picture show
1971,kotch,True,screenplay,kotch
1971,a new leaf,False,screenplay,a new leaf
1971,fiddler on the roof,False,screenplay,fiddler on the roof
1971,little murders,False,screenplay,little murders
1971,the boy friend,False,screenplay,the boy friend
1972,the godfather,True,screenplay,the godfather
1972,deliverance,False,screenplay,deliverance
1972,pete 'n' tillie,False,screenplay,pete 'n' tillie
1972,slaughterhouse-five,False,screenplay,slaughterhouse-five
1972,sounder,False,screenplay,sounder
1972,cabaret,True,screenplay,cabaret
1972,avanti!,False,screenplay,avanti!
1972,butterflies are free,False,screenplay,butterflies are free
1972,the heartbreak kid,False,screenplay,the heartbreak kid
1972,travels with my aunt,False,screenplay,travels with my aunt
1973,serpico,True,screenplay,serpico
1973,cinderella liberty,False,screenplay,cinderella liberty
1973,the exorcist,False,screenplay,the exorcist
1973,the last detail,False,screenplay,the last detail
1973,the paper chase,False,screenplay,the paper chase
1973,paper moon,True,screenplay,paper moon
1973,40 carats,False,screenplay,40 carats
1973,godspell,False,screenplay,godspell
1974,the godfather part ii,True,screenplay,the godfather part ii
1974,conrack,False,screenplay,conrack
1974,lenny,False,screenplay,lenny
1974,the parallax view,False,screenplay,the parallax view
1974,the talking of pelham one two three,False,screenplay,the talking of pelham one two three
1974,the apprenticeship of duddy kravitz,True,screenplay,the apprenticeship of duddy kravitz
1974,the front page,False,screenplay,the front page
1974,young frankenstein,False,screenplay,young frankenstein
1975,one flew over the cuckoo's nest,True,screenplay,one flew over the cuckoo's nest
1975,barry lyndon,False,screenplay,barry lyndon
1975,the man whou would be king,False,screenplay,the man whou would be king
1975,jaws,False,screenplay,jaws
