Name,Team,playerid
Mitch Moreland,BOS,3086
Anthony Rizzo,CHC,3473
Leury Garcia,CWS,5913
Eduardo Escobar,ARI,6153
Ian Desmond,COL,6885
Max Stassi,LAA,10059
Greg Garcia,SDP,10951
Luke Maile,PIT,13355
Jose Peraza,BOS,13593
Jacob Stallings,PIT,13723
Daniel Robertson,TBR,14145
Phillip Ervin,CIN,14738
Kyle Farmer,CIN,14813
Mitch Garver,MIN,15161
Cole Sulser,BAL,15256
Alex Blandino,CIN,16271
Ian Happ,CHC,17919
Art Warren,SEA,18251
Jorge Alcala,MIN,19459
Michael King,NYY,19853
Tyler Rogers,SFG,15541
Bryan Abreu,HOU,16609
Jacob Webb,ATL,19274
Hunter Harvey,BAL,15507
Kevin Ginkel,ARI,19876
Jesus Luzardo,OAK,19959
Randy Dobnak,MIN,23798
James Karinchak,CLE,20151
Jared Walsh,LAA,18607
Zack Britton,NYY,3240
Jeremy Walker,ATL,19981
Aroldis Chapman,NYY,10233
Alex Reyes,STL,15015
Alex Avila,MIN,7476
Eric Yardley,MIL,15538
Emmanuel Clase,CLE,21032
Aaron Civale,CLE,19479
Will Harris,WSH,3192
Clayton Kershaw,LAD,2036
Josh Hader,MIL,14212
Kenley Jansen,LAD,3096
Dellin Betances,NYM,6216
Andrew Miller,STL,6785
Ben Heller,NYY,15100
Brandon Workman,BOS,11428
Jacob deGrom,NYM,10954
Victor Arano,PHI,15915
Reyes Moronta,SFG,14966
Justin Dunn,SEA,19268
Steve Cishek,CWS,6483
Max Scherzer,WSH,3137
Casey Sadler,CHC,11209
Roberto Osuna,HOU,13764
Darren O'Day,ATL,3321
Mike Soroka,ATL,18383
Mark Melancon,ATL,4264
Craig Kimbrel,CHC,6655
Will Smith,ATL,8048
Adam Ottavino,NYY,1247
Zac Gallen,ARI,19291
Hyun-Jin Ryu,TOR,14444
Ken Giles,TOR,12910
Rich Hill,MIN,4806
Tony Gonsolin,LAD,19388
Justin Verlander,HOU,8700
Ryan Helsley,STL,18138
Tony Watson,SFG,3132
Giovanny Gallegos,STL,14986
Zack Greinke,HOU,1943
Craig Stammen,SDP,7274
Corey Knebel,MIL,15010
David Robertson,PHI,8241
Michel Baez,SDP,20100
Blake Treinen,LAD,12572
Josh Taylor,BOS,17359
Taylor Rogers,MIN,13449
Richard Bleier,BAL,7803
Pedro Strop,CIN,4070
Pedro Baez,LAD,5420
Sean Doolittle,WSH,1581
Jeremy Jeffress,CHC,9490
Corey Kluber,TEX,2429
Sam Tuivailala,SEA,13485
Aaron Bummer,CWS,16258
Walker Buehler,LAD,19374
Alex Colome,CWS,6661
John Brebbia,STL,12777
Gerrit Cole,NYY,13125
Liam Hendriks,OAK,3548
Chad Green,NYY,15552
Raisel Iglesias,CIN,17130
A.J. Puk,OAK,19343
Jose Leclerc,TEX,14524
Julio Urias,LAD,14765
Scott Alexander,LAD,10591
Jack Flaherty,STL,17479
Mike Clevinger,CLE,12808
Kyle Hendricks,CHC,12049
Hector Rondon,ARI,2391
Madison Bumgarner,ARI,5524
Chris Devenski,HOU,12763
Chris Sale,BOS,10603
Carlos Martinez,STL,11682
Keynan Middleton,LAA,15264
Keone Kela,PIT,14696
Jose Castillo,SDP,17169
Blake Snell,TBR,13543
Jake Arrieta,PHI,4153
Rowan Wick,CHC,14646
Cody Stashak,MIN,18088
Yusmeiro Petit,OAK,4020
Brad Brach,NYM,6627
Dakota Hudson,STL,19206
Jeurys Familia,NYM,5114
Emilio Pagan,SDP,14771
Seranthony Dominguez,PHI,19249
Seth Lugo,NYM,12447
Jose Alvarado,TBR,17780
Stephen Strasburg,WSH,10131
Ryan Pressly,HOU,7005
Hector Neris,PHI,11804
Diego Castillo,TBR,17496
Noah Syndergaard,NYM,11762
Daniel Ponce de Leon,STL,16110
Edgar Santana,PIT,17355
Wade Davis,COL,7441
Nick Anderson,TBR,18337
Hunter Wood,CLE,15091
Edwin Diaz,NYM,14710
Chris Paddack,SDP,20099
Grant Dayton,ATL,11203
Kirby Yates,SDP,9073
Joe Smith,HOU,3281
Nick Wittgren,CLE,15594
Jose Alvarez,PHI,5358
Brad Hand,CLE,9111
Yoan Lopez,ARI,17181
Enderson Franco,SFG,11896
Kyle Keller,LAA,18890
J.D. Davis,NYM,16219
Justin Wilson,NYM,4301
James Pazos,COL,13323
Mychal Givens,BAL,10430
Tommy Hunter,PHI,1157
Alex Claudio,MIL,12890
Dallas Keuchel,CWS,9434
Jandel Gustave,SFG,14665
Kyle Crick,PIT,13182
Sergio Romo,MIN,9817
Brandon Kintzler,MIA,9939
Dylan Floro,LAD,13394
David Price,LAD,3184
Miles Mikolas,STL,9803
Luis Severino,NYY,15890
Yoshihisa Hirano,SEA,19756
Jordan Hicks,STL,19618
Johnny Cueto,SFG,6893
Aaron Nola,PHI,16149
David Phelps,MIL,6316
Ross Stripling,LAD,13273
Brad Peacock,HOU,5401
Garrett Richards,SDP,9784
Richard Rodriguez,PIT,13549
Drew Smith,NYM,17755
Jon Lester,CHC,4930
James Norwood,CHC,16440
Joakim Soria,OAK,6941
Tyler Clippard,MIN,5640
Cam Bedrosian,LAA,13360
Andrew Chafin,ARI,12988
Alex Young,ARI,18333
Charlie Morton,TBR,4676
Hansel Robles,LAA,11801
Sam Coonrod,SFG,17264
Carl Edwards Jr.,SEA,13607
Kelvin Herrera,CWS,6033
Carlos Carrasco,CLE,6632
Heath Hembree,BOS,11632
Adrian Houser,MIL,12718
Mike Minor,TEX,10021
Alex Wood,LAD,13781
Dan Altavilla,SEA,16507
Ryan Brasier,BOS,5615
James Paxton,NYY,11828
Brent Suter,MIL,13942
Dustin May,LAD,19716
Ryan Tepera,CHC,10291
Taylor Guilbeau,SEA,18306
Jameson Taillon,PIT,11674
Lance McCullers Jr.,HOU,14120
Ranger Suarez,PHI,17277
Dan Winkler,CHC,12237
Brad Keller,KCR,15734
Luis Castillo,CIN,15689
Lance Lynn,TEX,2520
