Name,Team,playerid
Will Smith,ATL,8048
Gregory Soto,DET,19677
John Means,BAL,16269
Oliver Perez,CLE,1514
Liam Hendriks,OAK,3548
Trent Thornton,TOR,17948
Dennis Santana,LAD,17878
Randy Rosario,KCR,14508
Craig Stammen,SDP,7274
Tyrone Taylor,MIL,13675
Lane Thomas,STL,16939
Oliver Drake,TBR,8823
Yordan Alvarez,HOU,19556
Mike Trout,LAA,10155
Kenley Jansen,LAD,3096
Edwin Rios,LAD,18316
Sam Hilliard,COL,17954
J.D. Martinez,BOS,6184
Fernando Tatis Jr.,SDP,19709
Aaron Judge,NYY,15640
Joey Votto,CIN,4314
Juan Soto,WSH,20123
Bryce Harper,PHI,11579
Josh Donaldson,MIN,5038
Keston Hiura,MIL,20003
Freddie Freeman,ATL,5361
Nolan Arenado,COL,9777
Paul Goldschmidt,STL,9218
Alex Bregman,HOU,17678
Bo Bichette,TOR,19612
Peter Alonso,NYM,19251
Christian Yelich,MIL,11477
Kris Bryant,CHC,15429
Charlie Blackmon,COL,7859
Anthony Rizzo,CHC,3473
Cody Bellinger,LAD,15998
Randy Arozarena,TBR,19290
Jeff McNeil,NYM,15362
Mookie Betts,LAD,13611
Giancarlo Stanton,NYY,4949
Justin Turner,LAD,5235
Ronald Acuna Jr.,ATL,18401
Jose Altuve,HOU,5417
Nick Solak,TEX,19294
Anthony Rendon,LAA,12861
Mike Ford,NYY,15585
Bryan Reynolds,PIT,19326
Luke Voit,NYY,14811
Edwin Encarnacion,CWS,2151
Sean Murphy,OAK,19352
Reese McGuire,TOR,15674
Will Smith,LAD,19197
Austin Meadows,TBR,15672
Trevor Story,COL,12564
Max Muncy,LAD,13301
Yoenis Cespedes,NYM,13110
George Springer,HOU,12856
Rhys Hoskins,PHI,16472
David Dahl,COL,13744
Tommy Pham,SDP,2967
Miguel Cabrera,DET,1744
Jesse Winker,CIN,13590
Matt Carpenter,STL,8090
Corey Seager,LAD,13624
Brandon Nimmo,NYM,12927
Luis Arraez,MIN,18568
Daniel Murphy,COL,4316
Jose Ramirez,CLE,13510
Mitch Garver,MIN,15161
Matt Olson,OAK,14344
Aristides Aquino,CIN,15482
Michael Brantley,HOU,4106
Carlos Correa,HOU,14162
Kyle Lewis,SEA,19508
Tommy Edman,STL,19470
Ramon Laureano,OAK,17128
Ryan Braun,MIL,3410
Matt Chapman,OAK,16505
Manny Machado,SDP,11493
Eric Thames,WSH,3711
Joey Gallo,TEX,14128
Andrew McCutchen,PHI,9847
Gleyber Torres,NYY,16997
Jose Abreu,CWS,15676
Gary Sanchez,NYY,11442
Xander Bogaerts,BOS,12161
David Peralta,ARI,2136
Francisco Lindor,CLE,12916
Miguel Sano,MIN,12164
Eugenio Suarez,CIN,12552
Michael Conforto,NYM,16376
Carlos Santana,CLE,2396
Jose Martinez,TBR,7996
Mike Yastrzemski,SFG,14854
DJ LeMahieu,NYY,9874
Shin-Soo Choo,TEX,3174
Mitch Haniger,SEA,14274
Willson Contreras,CHC,11609
Josh Bell,PIT,13145
Rafael Devers,BOS,17350
A.J. Pollock,LAD,9256
Trea Turner,WSH,16252
Brandon Lowe,TBR,18882
Joc Pederson,LAD,11899
Kyle Schwarber,CHC,16478
Adam Eaton,WSH,11205
Brandon Belt,SFG,10264
Seth Brown,OAK,18171
Jesus Aguilar,MIA,11342
Miguel Andujar,NYY,15878
Trey Mancini,BAL,15149
Yasmani Grandal,CWS,11368
Franmil Reyes,CLE,14566
Khris Davis,OAK,9112
Justin Upton,LAA,5222
Nicholas Castellanos,CIN,11737
Domingo Santana,CLE,10348
Mike Moustakas,CIN,4892
Robinson Cano,NYM,3269
Eloy Jimenez,CWS,17484
Ian Happ,CHC,17919
Dustin Pedroia,BOS,8370
Cavan Biggio,TOR,19252
Lourdes Gurriel Jr.,TOR,19238
Jorge Soler,KCR,14221
Kyle Garlick,PHI,18063
Ji-Man Choi,TBR,5452
Corey Dickerson,MIA,10762
Buster Posey,SFG,9166
Howie Kendrick,WSH,4229
Robinson Chirinos,TEX,3142
Justin Smoak,MIL,9054
Andrew Benintendi,BOS,17901
Yuli Gurriel,HOU,19198
Christian Walker,ARI,13419
Javier Baez,CHC,12979
Ozzie Albies,ATL,16556
Starling Marte,ARI,9241
Jordan Luplow,CLE,16424
J.D. Davis,NYM,16219
Lorenzo Cain,MIL,9077
Marcell Ozuna,ATL,10324
Yoan Moncada,CWS,17232
Mike Tauchman,NYY,15274
Tommy La Stella,LAA,12371
Jake Cave,MIN,14477
Austin Nola,SEA,15941
Ketel Marte,ARI,13613
Whit Merrifield,KCR,11281
Stephen Piscotty,OAK,13367
Mark Canha,OAK,11445
Alex Dickerson,SFG,12649
Omar Narvaez,MIL,13338
Ryan Zimmerman,WSH,4220
Eric Hosmer,SDP,3516
Brian Anderson,MIA,18289
Aledmys Diaz,HOU,15937
Dexter Fowler,STL,4062
Tyler Naquin,CLE,13359
Shed Long,SEA,16542
Asdrubal Cabrera,WSH,4962
Jorge Polanco,MIN,13152
Yandy Diaz,TBR,16578
Myles Straw,HOU,17620
J.T. Realmuto,PHI,11739
Chris Taylor,LAD,13757
Wil Myers,SDP,10047
Paul DeJong,STL,18015
Danny Mendick,CWS,18889
Jake Lamb,ARI,13329
Garrett Cooper,MIA,15279
Travis Shaw,TOR,11982
Alex Verdugo,BOS,17027
Matt Joyce,MIA,3353
Tom Murphy,SEA,13499
Hunter Dozier,KCR,15117
Eddie Rosario,MIN,12155
Aaron Hicks,NYY,5297
C.J. Cron,DET,12546
Mitch Moreland,BOS,3086
Francisco Cervelli,MIA,5275
Michael Brosseau,TBR,19683
Vladimir Guerrero Jr.,TOR,19611
Brian Goodwin,LAA,12858
Kyle Seager,SEA,9785
Nick Markakis,ATL,5930
Jed Lowrie,NYM,4418
Teoscar Hernandez,TOR,13066
Josh Reddick,HOU,3892
Nathaniel Lowe,TBR,19566
Jacob Nottingham,MIL,16448
Hunter Renfroe,TBR,15464
Marwin Gonzalez,MIN,5497
Randal Grichuk,TOR,10243
Todd Frazier,TEX,785
David Bote,CHC,14593
Adam Frazier,PIT,15223
Jackie Bradley Jr.,BOS,12984
Jonathan Villar,MIA,10071
Willie Calhoun,TEX,17838
Hunter Pence,SFG,8252
Marcus Semien,OAK,12533
Jonathan Schoop,DET,11265
Robbie Grossman,OAK,5254
Johan Camargo,ATL,14950
Brett Gardner,NYY,9927
Wilmer Flores,SFG,5827
Jon Berti,MIA,12037
Jay Bruce,PHI,9892
Wilson Ramos,NYM,1433
Phillip Ervin,CIN,14738
Max Kepler,MIN,12144
Eduardo Escobar,ARI,6153
Cesar Hernandez,CLE,10556
Scott Schebler,CIN,12225
Jean Segura,PHI,5933
Avisail Garcia,MIL,5760
Matt Beaty,LAD,17710
Jedd Gyorko,MIL,10816
Tyler O'Neill,STL,15711
Michael Chavis,BOS,17321
Steven Souza Jr.,CHC,5667
Didi Gregorius,PHI,6012
Evan Longoria,SFG,9368
Tyler Flowers,ATL,9134
Clint Frazier,NYY,15983
Victor Robles,WSH,18363
Austin Hays,BAL,19363
Daniel Vogelbach,SEA,14130
Brad Miller,STL,12775
Nomar Mazara,CWS,14553
Kevin Cron,ARI,16211
Alex Avila,MIN,7476
Rowdy Tellez,TOR,15679
Gregory Polanco,PIT,12907
Oscar Mercado,CLE,16375
Adam Duvall,ATL,10950
LaMonte Wade,MIN,18126
Ender Inciarte,ATL,4922
Kevin Newman,PIT,17696
Peter Lambert,COL,17969
Kolten Wong,STL,12532
Cameron Maybin,DET,5223
Ryan McMahon,COL,15112
Ryon Healy,MIL,15447
Renato Nunez,BAL,14503
Ryan McBroom,KCR,16524
Brock Holt,MIL,9345
Kole Calhoun,ARI,11200
Brendan McKay,TBR,20186
Kurt Suzuki,WSH,8259
Willy Adames,TBR,15986
Stephen Vogt,ARI,5000
Logan Allen,CLE,18555
Tim Lopes,SEA,14137
D.J. Stewart,BAL,17766
Chris Davis,BAL,9272
Curt Casali,CIN,12510
Willians Astudillo,MIN,15608
Jason Heyward,CHC,4940
Colin Moran,PIT,16909
